,Bubble Sort,Selection Sort,Insertion Sort,Shell Sort,Quick Sort,Merge Sort
1k,0.27110910415649414,0.11908626556396484,0.21695494651794434,0.016605377197265625,0.05462479591369629,0.006002902984619141
10k,27.785470724105835,9.444650411605835,21.602692127227783,0.05851864814758301,0.6457228660583496,0.07000041007995605
20k,117.49453783035278,37.05158066749573,81.88720273971558,0.11652112007141113,1.2835934162139893,0.14655065536499023
30k,252.9721884727478,82.75889706611633,182.81697964668274,0.16347527503967285,2.0011165142059326,0.2241840362548828
40k,455.0111424922943,146.4808690547943,327.82256746292114,0.22611308097839355,2.5821785926818848,0.3061556816101074
50k,723.127551317215,229.8295714855194,511.87695121765137,0.28466200828552246,3.290198564529419,0.39849853515625
